region_id,region_name_en,region_name_ar,admin_level,country_iso3,headquarters_en,headquarters_ar,source_shape_id,boundary_year_represented,source_license,name_source_url,headquarters_source_url
SA-01,Riyadh Region,منطقة الرياض,ADM1,SAU,Riyadh,الرياض,25081817B56088895138556,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-02,Makkah Region,منطقة مكة المكرمة,ADM1,SAU,Makkah,مكة المكرمة,25081817B13159281784364,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-03,Al Madinah Region,منطقة المدينة المنورة,ADM1,SAU,Al Madinah,المدينة المنورة,25081817B5326875801694,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-04,Eastern Region,المنطقة الشرقية,ADM1,SAU,Dammam,الدمام,25081817B34473806557189,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-05,Al-Qassim Region,منطقة القصيم,ADM1,SAU,Buraidah,بريدة,25081817B98761102949945,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-06,Hail Region,منطقة حائل,ADM1,SAU,Hail,حائل,25081817B30843703179747,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-07,Tabuk Region,منطقة تبوك,ADM1,SAU,Tabuk,تبوك,25081817B21311317754967,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-08,Northern Borders Region,منطقة الحدود الشمالية,ADM1,SAU,Arar,عرعر,25081817B61333239611232,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-09,Jazan Region,منطقة جازان,ADM1,SAU,Jazan,جازان,25081817B72054791986965,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-10,Najran Region,منطقة نجران,ADM1,SAU,Najran,نجران,25081817B54479367627811,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-11,Al Bahah Region,منطقة الباحة,ADM1,SAU,Al Bahah,الباحة,25081817B90917209203250,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-12,Al Jawf Region,منطقة الجوف,ADM1,SAU,Sakaka,سكاكا,25081817B5742042673291,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
SA-14,Asir Region,منطقة عسير,ADM1,SAU,Abha,أبها,25081817B79414847265706,2017,Open Data Commons Open Database License 1.0,https://ncar.gov.sa/regions-coding,https://www.moi.gov.sa/wps/portal/Home/sectors/moidiwan/regions/contents/
