record_id,event_id,case_id,region_id,hazard,event_start_time,event_end_time,impact_status,impact_category,impact_description_zh,fatalities_min,fatalities_max,affected_households_min,source_id,evidence_tier,review_status,review_notes
IMP-202007-ASIR-001,EVT-2020-07-SW-FLOOD,20200725_00,SA-14,heavy_rain,2020-07-26T00:00:00Z,2020-07-27T23:59:59Z,yes,fatality,Asir的Wadi Abla山洪冲走一辆载有一家三口的车辆；报道引述当地民防发言人称找到三具遗体,3,3,,SRC-WATAN-20200727,licensed_local_media,reviewed,2026-07-16直接核对原文日期、地区、三名遇难者及民防发言人陈述；另有Al Madina 2020-07-28报道独立印证第三具遗体；证据等级不升级为official
IMP-202007-JAZAN-001,EVT-2020-07-SW-FLOOD,20200725_00,SA-09,heavy_rain,2020-07-26T00:00:00Z,2020-07-28T23:59:59Z,yes,housing,Jazan的Ahad Al Masarih有26户住宅进水；报道引述Jazan民防发言人,0,0,26,SRC-MOWATEN-20200728,licensed_local_media,reviewed,2026-07-16直接核对原文；明确列出26户住宅进水并引述具名Jazan民防发言人；受损程度未知
IMP-202007-JAZAN-002,EVT-2020-07-SW-FLOOD,20200725_00,SA-09,heavy_rain,2020-07-26T00:00:00Z,2020-07-27T23:59:59Z,yes,transport,持续强降雨造成道路中断并伴随供电中断和山体落石,0,0,,SRC-WATAN-20200727,licensed_local_media,reviewed,2026-07-16直接核对原文日期、Jazan地区、道路和供电中断及山体落石描述；主类仍按transport保存
IMP-202007-NORTH-HEAT-001,EVT-2020-07-NORTH-EAST-HEAT,20200729_00,SA-08,heatwave,2020-07-30T00:00:00Z,2020-07-30T23:59:59Z,unknown,unknown,Rafha记录51.1摄氏度；现有来源未提供可归因的人员或基础设施影响,,,,SRC-SG-20260624-NCM-JULY,secondary,reviewed,2026-07-16核对NCM分析转述中的Rafha日期和51.1摄氏度；来源未给出影响，unknown保持为资料不足
IMP-202007-EAST-HEAT-001,EVT-2020-07-NORTH-EAST-HEAT,20200729_00,SA-04,heatwave,2020-07-31T00:00:00Z,2020-07-31T23:59:59Z,unknown,unknown,Al-Qaisumah记录50.6摄氏度；现有来源未提供可归因的人员或基础设施影响,,,,SRC-SG-20260624-NCM-JULY,secondary,reviewed,2026-07-16核对NCM分析转述中的Al-Qaisumah日期和50.6摄氏度；来源未给出影响，unknown保持为资料不足
IMP-202005-JAZAN-001,EVT-2020-05-JAZAN-FLOOD-EARLY,20200501_00,SA-09,heavy_rain,2020-05-01T00:00:00Z,2020-05-02T23:59:59Z,yes,fatality,Jazan山地洪水冲走车辆并造成一人死亡,1,1,,SRC-WATAN-20200502,licensed_local_media,reviewed,2026-07-16直接核对原文日期、Jazan山地、车辆被冲走和一人死亡；当前仍是单一媒体来源
IMP-202005-JAZAN-002,EVT-2020-05-JAZAN-FLOOD-EARLY,20200501_00,SA-09,heavy_rain,2020-05-01T00:00:00Z,2020-05-02T23:59:59Z,yes,injury,同一过程报道六人受伤,0,0,,SRC-WATAN-20200502,licensed_local_media,reviewed,2026-07-16直接核对同一原文中的六人受伤；与死亡记录分行保存且不重复伤亡计数
IMP-202005-JAZAN-003,EVT-2020-05-JAZAN-FLOOD-LATE,20200505_00,SA-09,heavy_rain,2020-05-06T00:00:00Z,2020-05-06T23:59:59Z,yes,fatality,Wadi Dhahban山洪冲走一名约四十岁男子并确认死亡,1,1,,SRC-WATAN-20200506,licensed_local_media,reviewed,2026-07-16直接核对原文日期、Wadi Dhahban地点和死亡描述；当前仍是单一媒体来源
IMP-202005-JAZAN-004,EVT-2020-05-JAZAN-FLOOD-LATE,20200505_00,SA-09,heavy_rain,2020-05-06T00:00:00Z,2020-05-06T23:59:59Z,yes,transport,洪水切断水泥厂至Al-Khubah和Al-Dagharir方向道路,0,0,,SRC-WATAN-20200506,licensed_local_media,reviewed,2026-07-16直接核对同一原文中的道路中断和地点；道路名称保留来源转写
IMP-202007-EAST-HEAT-EARLY-001,EVT-2020-07-EAST-HEAT-EARLY,20200706_00,SA-04,heatwave,2020-07-07T00:00:00Z,2020-07-07T23:59:59Z,unknown,unknown,Al-Ahsa和Dammam分别报告49.8和49.4摄氏度；未找到可归因影响资料,,,,SRC-ALBAYAN-20200708,secondary,reviewed,2026-07-16直接核对气象部门转述的城市和温度；来源未提供影响，unknown保持为资料不足
IMP-202011-MADINAH-001,EVT-2020-11-MADINAH-FLOOD,20201119_00,SA-03,heavy_rain,2020-11-20T00:00:00Z,2020-11-21T23:59:59Z,yes,transport,Madinah多地中到大雨引发道路坍塌并冲移和困住车辆,0,0,,SRC-WATAN-20201121,licensed_local_media,reviewed,2026-07-16直接核对原文日期、Madinah和Yanbu地区、道路坍塌及车辆冲移受困；影响范围未量化
IMP-202011-MAKKAH-001,EVT-2020-11-MAKKAH-RAIN,20201125_00,SA-02,heavy_rain,2020-11-26T00:00:00Z,2020-11-26T23:59:59Z,yes,transport,Makkah中到大雨后多个城区及环路点位被列为受影响和雨后处置地点,0,0,,SRC-WATAN-20201126,licensed_local_media,reviewed,2026-07-16直接核对原文日期、受影响城区和道路点位及雨后处置；来源未报告伤亡
