profile_id,region_id,region_name_en,month,elevation_mean_m,elevation_p10_m,elevation_p50_m,elevation_p90_m,elevation_max_m,elevation_p90_minus_p10_m,elevation_share_above_1000m,precipitation_mean_mm,precipitation_p90_mm,precipitation_max_mm,available_at,prior_status,knowledge_prior_risk,source_ids
SA-01:month01:worldclim21,SA-01,Riyadh Region,1,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,10.67,17.0,24.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month02:worldclim21,SA-01,Riyadh Region,2,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,8.244,13.0,22.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month03:worldclim21,SA-01,Riyadh Region,3,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,37.591,47.0,54.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month04:worldclim21,SA-01,Riyadh Region,4,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,26.023,34.0,37.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month05:worldclim21,SA-01,Riyadh Region,5,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,9.656,14.0,17.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month06:worldclim21,SA-01,Riyadh Region,6,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,0.811,2.0,4.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month07:worldclim21,SA-01,Riyadh Region,7,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,0.338,1.0,2.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month08:worldclim21,SA-01,Riyadh Region,8,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,1.863,3.0,7.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month09:worldclim21,SA-01,Riyadh Region,9,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,0.968,3.0,5.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month10:worldclim21,SA-01,Riyadh Region,10,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,2.711,5.0,7.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month11:worldclim21,SA-01,Riyadh Region,11,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,8.344,17.0,28.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-01:month12:worldclim21,SA-01,Riyadh Region,12,715.666,463.0,705.0,980.0,1133.0,517.0,0.072225,11.435,20.0,28.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-02:month01:worldclim21,SA-02,Makkah Region,1,817.447,75.0,940.0,1317.0,1988.0,1242.0,0.3429,12.531,19.0,31.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-02:month02:worldclim21,SA-02,Makkah Region,2,817.447,75.0,940.0,1317.0,1988.0,1242.0,0.3429,5.988,7.0,10.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
SA-02:month03:worldclim21,SA-02,Makkah Region,3,817.447,75.0,940.0,1317.0,1988.0,1242.0,0.3429,19.829,30.0,34.0,2020-03-15T00:00:00Z,context_only,,WORLDCLIM21_ELEV_10M;WORLDCLIM21_PREC_10M
