period,region_id,region_name_en,indicator,unit,region_cell_count,valid_days,daily_region_mean_p50,daily_region_mean_p90,daily_region_mean_p95,daily_region_mean_max,daily_region_max_p50,daily_region_max_p90,daily_region_max_p95,daily_region_max_max,daily_spatial_p95_p50,daily_spatial_p95_p90,daily_spatial_p95_p95,daily_spatial_p95_max
annual,SA-01,Riyadh Region,daily_precip_total,mm,3309,363,0,0.22618189,0.65767778,5.9121523,0,7,11.45,54.75,0,1.5,3.675,29
annual,SA-01,Riyadh Region,t2m_c,degC,3309,362,29.191586,36.690515,37.145204,37.944083,32.878357,40.360703,40.731068,41.734833,31.783813,39.230527,39.619978,40.734833
annual,SA-01,Riyadh Region,tmax_c,degC,3309,363,35.179925,42.987381,43.40509,44.258419,38.449982,46.629999,47.461298,48.350006,37.662476,45.550006,46.445599,47.100006
annual,SA-01,Riyadh Region,tmin_c,degC,3309,363,23.105655,29.464314,30.036606,30.575635,27.163513,34.565533,35.209995,36.602905,26.412537,32.764996,33.5836,34.579315
annual,SA-01,Riyadh Region,wind10_speed,m s-1,3309,364,3.4802039,4.8932188,5.2821409,7.5109264,6.3748331,8.297553,8.922254,11.068317,5.3496361,6.9464322,7.5683026,8.8372297
annual,SA-01,Riyadh Region,pwat,kg m-2,3309,292,15.152162,21.02207,23.336589,31.5731,20.607924,28.196859,35.609137,49.599998,19.105118,26.552036,31.384138,47.099998
annual,SA-01,Riyadh Region,ivt,kg m-1 s-1,3309,291,76.492917,145.15152,168.29109,279.35603,145.49521,271.39756,331.30405,494.95818,127.71513,232.83622,282.38518,459.33138
annual,SA-01,Riyadh Region,wind850_speed,m s-1,3309,291,5.8057081,8.21567,8.9031494,12.43064,10.489596,13.367482,14.586563,17.683117,9.1382732,12.059165,13.06526,15.163209
annual,SA-01,Riyadh Region,wind_shear_850_200,m s-1,3309,291,19.135785,42.470864,46.352888,57.692058,29.75728,52.397343,58.352184,73.052315,27.619181,50.165314,54.338902,65.589111
annual,SA-01,Riyadh Region,omega500,Pa s-1,3309,292,0.013543265,0.056031079,0.068848331,0.1764515,0.16399097,0.32793512,0.39836485,0.60224819,0.090543985,0.17407134,0.20135118,0.38788295
annual,SA-01,Riyadh Region,geopotential_height500,gpm,3309,293,5889.3695,5913.5165,5918.0644,5936.1583,5899.3164,5925.2599,5928.4446,5948.1362,5897.2207,5921.4018,5926.175,5946.5112
annual,SA-02,Makkah Region,daily_precip_total,mm,1202,363,0.0067137511,0.49281998,1.1586167,6.1103795,1.25,20.25,29.45,125,0,2.7,5.4237488,22.224976
annual,SA-02,Makkah Region,t2m_c,degC,1202,362,29.00944,34.110037,34.675664,35.731601,33.523453,38.397195,39.096289,40.602814,32.544228,36.894724,37.708864,39.283142
annual,SA-02,Makkah Region,tmax_c,degC,1202,363,34.243856,40.07312,40.500658,41.487889,39.550018,46.401813,47.248846,48.8013,38.444664,43.842706,44.687567,46.353088
annual,SA-02,Makkah Region,tmin_c,degC,1202,363,23.547651,28.202987,28.605207,29.757972,29.559357,33.116132,33.606729,36.149994,27.852509,31.163422,31.635979,32.991905
annual,SA-02,Makkah Region,wind10_speed,m s-1,1202,364,3.3220104,4.8790052,5.2834273,6.5665598,7.4923971,9.6598147,10.080227,15.079572,5.8782492,7.8978156,8.4415356,11.872541
annual,SA-02,Makkah Region,pwat,kg m-2,1202,292,17.872626,26.566206,30.04103,39.681699,33.980577,47.173495,50.827824,62.130993,29.6,42.685386,45.630832,59.605968
annual,SA-02,Makkah Region,ivt,kg m-1 s-1,1202,291,86.589871,157.42746,181.32962,222.88141,162.69754,309.71152,354.66003,445.8365,128.81769,237.95285,275.8316,384.27869
annual,SA-02,Makkah Region,wind850_speed,m s-1,1202,291,5.657977,8.54383,9.5426913,11.371462,10.882947,14.146223,14.829049,22.266626,9.5669765,12.729581,13.684744,19.010183
annual,SA-02,Makkah Region,wind_shear_850_200,m s-1,1202,291,20.706182,42.908854,48.171282,56.169724,27.928617,49.212849,54.814808,67.222771,25.264679,47.817505,52.853926,64.081291
annual,SA-02,Makkah Region,omega500,Pa s-1,1202,292,0.013342948,0.054618835,0.066400755,0.1092807,0.26517057,0.45456405,0.54176142,0.84478045,0.12084126,0.21251101,0.2472206,0.51508141
annual,SA-02,Makkah Region,geopotential_height500,gpm,1202,293,5892.7621,5917.6362,5922.4943,5935.5223,5900.8457,5927.1592,5933.1204,5942.8267,5896.9072,5921.648,5928.1454,5940.4517
annual,SA-03,Al Madinah Region,daily_precip_total,mm,1317,363,0,0.30414857,0.78037188,8.0056488,0,8.7,15.725,70.375,0,1.95,3.9799988,32.899994
annual,SA-03,Al Madinah Region,t2m_c,degC,1317,362,27.580453,33.847883,34.703869,36.992371,32.521576,38.313617,39.646733,42.470734,31.223373,36.664799,37.839095,39.979889
annual,SA-03,Al Madinah Region,tmax_c,degC,1317,363,33.68531,40.295244,40.967592,43.39476,39.249786,45.819,46.949158,48.75,37.682121,43.663763,44.741968,46.449982
annual,SA-03,Al Madinah Region,tmin_c,degC,1317,363,21.069152,26.820382,27.723351,29.388939,27.850189,32.23504,33.464526,35.925079,25.373749,30.156,31.137975,33.187469
annual,SA-03,Al Madinah Region,wind10_speed,m s-1,1317,364,2.9531612,4.5531669,4.8046647,5.3960654,7.317354,9.2713138,10.079519,14.720086,5.2255909,7.0436855,7.468463,9.105298
annual,SA-03,Al Madinah Region,pwat,kg m-2,1317,292,13.651688,21.725853,23.941112,29.556035,22.1,34.055046,37.838933,53.099998,18.654639,29.1,33.656274,49.599998
annual,SA-03,Al Madinah Region,ivt,kg m-1 s-1,1317,291,72.496948,142.779,174.87714,306.11909,140.86585,251.75213,319.73799,504.86074,117.38075,218.28813,274.09194,443.10888
annual,SA-03,Al Madinah Region,wind850_speed,m s-1,1317,291,5.374427,7.7405562,8.6964466,11.616892,10.061598,13.069556,14.14886,21.59878,8.6959972,11.278586,12.313928,15.701859
