method,target_days,observed_hot_days,observed_hot_day_hits,observed_hot_day_recall,observed_nonhot_days,observed_nonhot_day_correct_negatives,observed_nonhot_day_specificity,balanced_accuracy,event_cases,event_case_detections,event_case_detection_fraction,control_cases,control_case_correct_rejections,control_case_rejection_fraction,mae_degc,complexity_rank,passes_all_gates
raw_spatial_p95,37,14,1,0.07142857142857142,23,22,0.9565217391304348,0.5139751552795031,9,1,0.1111111111111111,7,7,1.0,1.6977158918918926,0,False
pooled_median_loco,37,14,6,0.42857142857142855,23,19,0.8260869565217391,0.6273291925465838,9,4,0.4444444444444444,7,6,0.8571428571428571,1.3391959729729719,1,False
lead_median_loco,37,14,6,0.42857142857142855,23,18,0.782608695652174,0.6055900621118012,9,4,0.4444444444444444,7,6,0.8571428571428571,1.364739351351351,2,False
region_median_loco,37,14,7,0.5,23,19,0.8260869565217391,0.6630434782608696,9,4,0.4444444444444444,7,6,0.8571428571428571,1.5878375405405414,2,False
region_lead_shrinkage_loco,37,14,6,0.42857142857142855,23,18,0.782608695652174,0.6055900621118012,9,4,0.4444444444444444,7,6,0.8571428571428571,1.3399413461276408,3,False
ridge_state_loco_lambda1,37,14,5,0.35714285714285715,23,22,0.9565217391304348,0.656832298136646,9,3,0.3333333333333333,7,7,1.0,1.4924314994749144,4,False
ridge_state_loco_lambda10,37,14,2,0.14285714285714285,23,22,0.9565217391304348,0.5496894409937888,9,1,0.1111111111111111,7,7,1.0,1.4900549876344884,4,False
ridge_state_loco_lambda100,37,14,4,0.2857142857142857,23,22,0.9565217391304348,0.6211180124223603,9,3,0.3333333333333333,7,7,1.0,1.499065330909699,4,False
blend025_pooled_loco,37,14,6,0.42857142857142855,23,19,0.8260869565217391,0.6273291925465838,9,4,0.4444444444444444,7,6,0.8571428571428571,1.4127294864864854,3,False
blend050_pooled_loco,37,14,5,0.35714285714285715,23,21,0.9130434782608695,0.6350931677018633,9,4,0.4444444444444444,7,7,1.0,1.3907789459459474,3,False
blend075_pooled_loco,37,14,6,0.42857142857142855,23,22,0.9565217391304348,0.6925465838509317,9,3,0.3333333333333333,7,7,1.0,1.5074128040540546,3,False
maximum_pooled_loco,37,14,5,0.35714285714285715,23,20,0.8695652173913043,0.6133540372670807,9,2,0.2222222222222222,7,7,1.0,1.5500871081081078,3,False
