method,source_group,case_id,case_role,region_id,lead_time_hours,evaluation_scope,source_spatial_p95_degc,raw_forecast_tmax_degc,source_maximum_degc,maximum_weight,base_aggregated_tmax_degc,correction_degc,candidate_tmax_degc,observed_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,observed_hot_day,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive
raw_spatial_p95,2018_cross_year_prospective,20180601_00,event,SA-04,24,target_window,45.509152,45.509152,47.119934,0.0,45.509152,0.0,45.509152,47.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180601_00,event,SA-04,48,target_window,46.568024,46.568024,47.063049,0.0,46.568024,0.0,46.568024,48.2,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180601_00,event,SA-04,72,target_window,46.616957,46.616957,47.945801,0.0,46.616957,0.0,46.616957,47.3,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180614_00,control,SA-04,24,target_window,45.632617,45.632617,46.299377,0.0,45.632617,0.0,45.632617,43.3,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180614_00,control,SA-04,48,target_window,45.749274,45.749274,46.285767,0.0,45.749274,0.0,45.749274,43.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180614_00,control,SA-04,72,target_window,44.504704,44.504704,44.945923,0.0,44.504704,0.0,44.504704,42.8,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180619_00,event,SA-03,24,target_window,43.52858,43.52858,44.153992,0.0,43.52858,0.0,43.52858,45.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180619_00,event,SA-03,48,target_window,44.2686,44.2686,45.414276,0.0,44.2686,0.0,44.2686,47.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180619_00,event,SA-03,72,target_window,44.862366,44.862366,47.78302,0.0,44.862366,0.0,44.862366,47.0,47.0,49.0,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180623_00,control,SA-03,24,target_window,43.710217,43.710217,47.004944,0.0,43.710217,0.0,43.710217,43.4,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180623_00,control,SA-03,48,target_window,43.328873,43.328873,44.586487,0.0,43.328873,0.0,43.328873,44.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180623_00,control,SA-03,72,target_window,42.828177,42.828177,43.891113,0.0,42.828177,0.0,42.828177,43.0,47.0,49.0,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180709_00,event,SA-04,24,target_window,47.452081,47.452081,48.143402,0.0,47.452081,0.0,47.452081,47.0,47.249969,49.078418,False,True,False,1,False
raw_spatial_p95,2018_cross_year_prospective,20180709_00,event,SA-04,48,target_window,46.501558,46.501558,47.531647,0.0,46.501558,0.0,46.501558,48.0,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180709_00,event,SA-04,72,target_window,46.41606,46.41606,47.837372,0.0,46.41606,0.0,46.41606,48.0,47.249969,49.078418,True,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180719_00,control,SA-04,24,target_window,45.306812,45.306812,46.342468,0.0,45.306812,0.0,45.306812,45.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180719_00,control,SA-04,48,target_window,45.943123,45.943123,46.409851,0.0,45.943123,0.0,45.943123,45.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2018_cross_year_prospective,20180719_00,control,SA-04,72,target_window,45.913065,45.913065,46.644348,0.0,45.913065,0.0,45.913065,44.0,47.249969,49.078418,False,False,False,0,False
raw_spatial_p95,2020_retrospective_sa04,20200619_00,control,SA-04,24,context_only,43.867627,43.867627,44.670044,0.0,43.867627,0.0,43.867627,44.1,47.249969,49.078418,False,False,False,0,False
