method,dataset_split,event_target_windows,hits,misses,target_window_recall,control_target_windows,false_alarms,correct_negatives,target_window_specificity,event_cases,event_case_detections,event_case_detection_fraction,control_cases,control_case_correct_rejections,control_case_rejection_fraction,knowledge_trigger_count,distinct_corrected_event_cases,new_false_alarm_count,passes_all_gates,base_method,knowledge_mode,primary_ratio_threshold,support_count_threshold,minimum_eligible_windows,complexity_rank,balanced_accuracy,knowledge_upgrade_count,minimum_operational_skill
joint_rain_v2_base_kg_persistence_ratio0p25_support1_windows3,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.25,1.0,3.0,2,1.0,2,1.0
joint_rain_v2_base_kg_persistence_ratio0p25_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.25,2.0,2.0,2,1.0,2,1.0
joint_rain_v2_base_kg_persistence_ratio0p2_support1_windows3,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.2,1.0,3.0,2,1.0,2,1.0
joint_rain_v2_base_kg_persistence_ratio0p2_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.2,2.0,2.0,2,1.0,2,1.0
joint_rain_v2_base_kg_persistence_ratio0p3_support1_windows3,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.3,1.0,3.0,2,1.0,2,1.0
joint_rain_v2_base_kg_persistence_ratio0p3_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,2,1,0,True,v2_base,cross_window_persistence,0.3,2.0,2.0,2,1.0,2,1.0
joint_rain_v1_base_kg_persistence_ratio0p25_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,4,2,0,True,v1_base,cross_window_persistence,0.25,2.0,2.0,2,1.0,4,1.0
joint_rain_v1_base_kg_persistence_ratio0p2_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,4,2,0,True,v1_base,cross_window_persistence,0.2,2.0,2.0,2,1.0,4,1.0
joint_rain_v1_base_kg_persistence_ratio0p3_support2_windows2,development,5,5,0,1.0,4,0,4,1.0,3,3,1.0,2,2,1.0,4,2,0,True,v1_base,cross_window_persistence,0.3,2.0,2.0,2,1.0,4,1.0
joint_rain_v2_base_kg_single_ratio0p45_support1,development,5,4,1,0.8,4,0,4,1.0,3,3,1.0,2,2,1.0,1,1,0,True,v2_base,single_window,0.45,1.0,1.0,1,0.9,1,0.8
joint_rain_v2_base_kg_single_ratio0p45_support2,development,5,4,1,0.8,4,0,4,1.0,3,3,1.0,2,2,1.0,1,1,0,True,v2_base,single_window,0.45,2.0,1.0,1,0.9,1,0.8
joint_rain_v2_base_kg_single_ratio0p55_support1,development,5,4,1,0.8,4,0,4,1.0,3,3,1.0,2,2,1.0,1,1,0,True,v2_base,single_window,0.55,1.0,1.0,1,0.9,1,0.8
