method,source_group,case_role,lead_time_hours,evaluation_scope,source_spatial_p95_degc,raw_forecast_tmax_degc,source_maximum_degc,maximum_weight,base_aggregated_tmax_degc,correction_degc,candidate_tmax_degc,observed_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,observed_hot_day,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive,base_method,base_candidate_positive,knowledge_mode,near_threshold_margin_degc,temporal_minimum_near_windows,spatial_maximum_margin_degc,knowledge_triggered,integrated_hot_day,complexity_rank,integrated_hot_day_streak,case_id,region_id
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,24,target_window,45.509152,45.509152,47.119934,0.0,45.509152,1.471420000000002,46.980572,47.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,1,20180601_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,48,target_window,46.568024,46.568024,47.063049,0.0,46.568024,1.471420000000002,48.039444,48.2,47.249969,49.078418,True,True,False,1,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,True,3,2,20180601_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,72,target_window,46.616957,46.616957,47.945801,0.0,46.616957,1.471420000000002,48.088377,47.3,47.249969,49.078418,True,True,False,2,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,3,20180601_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,24,target_window,45.632617,45.632617,46.299377,0.0,45.632617,1.4984419999999972,47.131059,43.3,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180614_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,48,target_window,45.749274,45.749274,46.285767,0.0,45.749274,1.4984419999999972,47.247716,43.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180614_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,72,target_window,44.504704,44.504704,44.945923,0.0,44.504704,1.4984419999999972,46.003145999999994,42.8,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180614_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,24,target_window,43.52858,43.52858,44.153992,0.0,43.52858,1.4636410000000026,44.992221,45.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180619_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,48,target_window,44.2686,44.2686,45.414276,0.0,44.2686,1.4636410000000026,45.732241,47.0,47.0,49.0,True,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180619_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,72,target_window,44.862366,44.862366,47.78302,0.0,44.862366,1.4636410000000026,46.326007000000004,47.0,47.0,49.0,True,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,1,20180619_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,24,target_window,43.710217,43.710217,47.004944,0.0,43.710217,1.4984419999999972,45.208659,43.4,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180623_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,48,target_window,43.328873,43.328873,44.586487,0.0,43.328873,1.4984419999999972,44.827315,44.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180623_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,72,target_window,42.828177,42.828177,43.891113,0.0,42.828177,1.4984419999999972,44.326618999999994,43.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20180623_00,SA-03
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,24,target_window,47.452081,47.452081,48.143402,0.0,47.452081,1.471420000000002,48.923501,47.0,47.249969,49.078418,False,True,False,1,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,True,3,1,20180709_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,48,target_window,46.501558,46.501558,47.531647,0.0,46.501558,1.471420000000002,47.972978000000005,48.0,47.249969,49.078418,True,True,False,2,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,2,20180709_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,event,72,target_window,46.41606,46.41606,47.837372,0.0,46.41606,1.471420000000002,47.887480000000004,48.0,47.249969,49.078418,True,True,False,3,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,3,20180709_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,24,target_window,45.306812,45.306812,46.342468,0.0,45.306812,1.4984419999999972,46.805254,45.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,1,20180719_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,48,target_window,45.943123,45.943123,46.409851,0.0,45.943123,1.4984419999999972,47.441565,45.0,47.249969,49.078418,False,True,False,1,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,True,3,2,20180719_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2018_cross_year_prospective,control,72,target_window,45.913065,45.913065,46.644348,0.0,45.913065,1.4984419999999972,47.411507,44.0,47.249969,49.078418,False,True,False,2,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,3,20180719_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,24,context_only,43.867627,43.867627,44.670044,0.0,43.867627,1.4984419999999972,45.366068999999996,44.1,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200619_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,48,target_window,44.084943,44.084943,44.893799,0.0,44.084943,1.4984419999999972,45.583385,43.1,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200619_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,72,target_window,44.450366,44.450366,45.464539,0.0,44.450366,1.4984419999999972,45.948808,43.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200619_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,24,context_only,43.013921,43.013921,43.666168,0.0,43.013921,1.4908479999999997,44.504769,41.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200622_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,48,target_window,42.062547,42.062547,43.851593,0.0,42.062547,1.4908479999999997,43.553395,44.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200622_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,control,72,target_window,42.636359,42.636359,44.274292,0.0,42.636359,1.4908479999999997,44.127207,44.1,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200622_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,control,24,context_only,40.433228,40.433228,40.785156,0.0,40.433228,1.4636410000000026,41.896869,42.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200623_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,control,48,target_window,39.605121,39.605121,40.024261,0.0,39.605121,1.4636410000000026,41.068762,42.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200623_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,control,72,target_window,39.205518,39.205518,39.506744,0.0,39.205518,1.4636410000000026,40.669159,42.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200623_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,24,context_only,44.956194,44.956194,45.773193,0.0,44.956194,1.471420000000002,46.427614000000005,46.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,1,20200627_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,48,target_window,45.007985,45.007985,46.384705,0.0,45.007985,1.471420000000002,46.479405,47.0,47.249969,49.078418,False,False,False,0,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,2,20200627_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,72,target_window,45.463254,45.463254,45.994537,0.0,45.463254,1.471420000000002,46.934674,48.0,47.249969,49.078418,True,False,False,0,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,3,20200627_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,event,24,context_only,43.316388,43.316388,44.237,0.0,43.316388,1.471420000000002,44.787808000000005,44.2,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200702_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,event,48,target_window,44.190881,44.190881,44.5672,0.0,44.190881,1.471420000000002,45.662301,47.0,47.0,49.0,True,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200702_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_prospective_sa08,event,72,target_window,45.036707,45.036707,45.202515,0.0,45.036707,1.471420000000002,46.508127,47.0,47.0,49.0,True,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200702_00,SA-08
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,24,context_only,47.378952,47.378952,48.129761,0.0,47.378952,1.471420000000002,48.850372,49.0,47.249969,49.078418,True,True,False,1,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,True,3,1,20200706_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,48,target_window,47.848279,47.848279,48.488251,0.0,47.848279,1.471420000000002,49.319699,50.0,47.249969,49.078418,True,True,True,2,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,2,20200706_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,72,context_only,47.985997,47.985997,48.391327,0.0,47.985997,1.471420000000002,49.457417,48.0,47.249969,49.078418,True,True,True,3,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,3,20200706_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,24,context_only,47.150662,47.150662,47.497131,0.0,47.150662,1.4908479999999997,48.64151,48.0,47.249969,49.078418,True,True,False,1,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,True,3,1,20200715_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,48,target_window,46.327307,46.327307,46.84787,0.0,46.327307,1.4908479999999997,47.818155,46.0,47.249969,49.078418,False,True,False,2,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,2,20200715_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,72,target_window,45.934428,45.934428,47.112854,0.0,45.934428,1.4908479999999997,47.425276,48.0,47.249969,49.078418,True,True,False,3,True,pooled_median_loco,True,temporal_or_spatial,1.0,3.0,0.0,False,True,3,3,20200715_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,24,context_only,45.273853,45.273853,46.228577,0.0,45.273853,1.471420000000002,46.745273000000005,46.0,47.249969,49.078418,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,1,20200806_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,48,target_window,45.082336,45.082336,45.62616,0.0,45.082336,1.471420000000002,46.553756,47.0,47.249969,49.078418,False,False,False,0,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,2,20200806_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,72,target_window,45.384962,45.384962,46.726837,0.0,45.384962,1.471420000000002,46.856382,49.0,47.249969,49.078418,True,False,False,0,True,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,True,True,3,3,20200806_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,24,context_only,44.458691,44.458691,46.451538,0.0,44.458691,1.4636410000000026,45.922332000000004,46.0,47.0,49.0,False,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200908_00,SA-04
joint_heat_pooled_median_loco_kg_temporal_or_spatial_margin1p0_windows3_maxmargin0p0,2020_retrospective_sa04,event,48,target_window,44.70089,44.70089,45.819611,0.0,44.70089,1.4636410000000026,46.164531000000004,48.0,47.0,49.0,True,False,False,0,False,pooled_median_loco,False,temporal_or_spatial,1.0,3.0,0.0,False,False,3,0,20200908_00,SA-04
