source_file,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,region_name_en,indicator,unit,region_cell_count,valid_cell_count,minimum,weighted_mean,spatial_p95,maximum
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,daily_precip_total,mm,531,531,0,0.18499396,0.30931573,0.48301682
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,t2m_c,degC,531,531,34.181976,35.365976,36.183823,36.691864
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,tmax_c,degC,531,531,39.556244,41.876973,42.8022,43.324707
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,tmin_c,degC,531,531,27.696472,29.294834,30.545731,31.075684
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,wind10_speed,m s-1,531,531,1.4663165,3.3459216,4.3450718,4.7536411
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,pwat,kg m-2,531,531,15.427928,19.74999,22.429344,24.059361
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,ivt,kg m-1 s-1,531,531,27.675499,103.5744,124.79071,136.55732
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,wind850_speed,m s-1,531,531,3.6123497,6.764198,8.6433439,9.3358994
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,wind_shear_850_200,m s-1,531,531,6.5707188,11.411652,14.703017,15.994646
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,omega500,Pa s-1,531,531,-0.038223788,0.0049935868,0.03396726,0.056375563
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-01,Riyadh Region,geopotential_height500,gpm,531,531,5893.4858,5905.1265,5910.74,5911.5361
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,daily_precip_total,mm,191,191,0,0.30117916,0.60829309,2.4201586
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,t2m_c,degC,191,191,28.657715,34.289209,35.898956,36.343231
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,tmax_c,degC,191,191,32.373444,39.855455,42.096207,42.691071
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,tmin_c,degC,191,191,24.792542,29.64168,32.008453,32.372772
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,wind10_speed,m s-1,191,191,1.1188971,2.7887445,3.9148161,4.2230682
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,pwat,kg m-2,191,191,19.32889,30.711362,49.614341,52.524869
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,ivt,kg m-1 s-1,191,191,31.38679,89.632589,143.58804,172.93477
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,wind850_speed,m s-1,191,191,1.4581344,5.8732882,9.2601833,10.077064
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,wind_shear_850_200,m s-1,191,191,8.6860762,17.307351,21.774488,23.882961
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,omega500,Pa s-1,191,191,-0.13850462,0.0054431707,0.076988026,0.15580323
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-02,Makkah Region,geopotential_height500,gpm,191,191,5896.562,5905.8391,5909.5129,5910.5356
handoff/mazu_like/mazu_like_20200820_00_lead024.nc,2020-08-20T00:00:00Z,24,2020-08-20T00:00:00Z,2020-08-21T00:00:00Z,SA-03,Al Madinah Region,daily_precip_total,mm,207,207,0,0.13620511,0.26756352,0.38557979
