case_id,prediction_case_id,event_id,case_role,hazard,region_id,lead_time_hours,valid_start_time,valid_end_time,risk_level,risk_score,confidence,evaluation_scope,candidate_outcome,primary_indicator,primary_value,primary_threshold,severe_threshold,primary_stage_or_duration,weather_screening_status,impact_evidence_status,rule_id,rule_status
20200706_00,20200706_00_024,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,24,2020-07-06T00:00:00Z,2020-07-07T00:00:00Z,medium,6.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,49.53462216601562,47.249969,49.078418,1,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200706_00,20200706_00_048,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,48,2020-07-07T00:00:00Z,2020-07-08T00:00:00Z,medium,7.0,medium,target_window,candidate_hit,tmax_c_spatial_p95,50.00394916601562,47.249969,49.078418,2,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200706_00,20200706_00_072,EVT-2020-07-EAST-HEAT-EARLY,event,heatwave,SA-04,72,2020-07-08T00:00:00Z,2020-07-09T00:00:00Z,high,8.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,50.14166716601562,47.249969,49.078418,3,weather_confirmed,impact_unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_024,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,24,2020-07-15T00:00:00Z,2020-07-16T00:00:00Z,medium,6.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,49.55465369921875,47.249969,49.078418,1,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_048,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,48,2020-07-16T00:00:00Z,2020-07-17T00:00:00Z,medium,5.0,medium,target_window,candidate_hit,tmax_c_spatial_p95,48.73129869921875,47.249969,49.078418,2,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200715_00,20200715_00_072,EVT-2020-07-EAST-HEAT-LATE,event,heatwave,SA-04,72,2020-07-17T00:00:00Z,2020-07-18T00:00:00Z,medium,6.0,medium,target_window,candidate_hit,tmax_c_spatial_p95,48.33841969921875,47.249969,49.078418,3,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200619_00,20200619_00_024,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,24,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,46.32667241015625,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200619_00,20200619_00_048,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,48,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,tmax_c_spatial_p95,46.54398841015625,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200619_00,20200619_00_072,CTRL-2020-06-EAST-HEAT,control,heatwave,SA-04,72,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,low,0.0,medium,target_window,candidate_correct_negative,tmax_c_spatial_p95,46.90941141015625,47.249969,49.078418,0,ssod_utc_screened_lower_intensity,unknown,heatwave_candidate_graphcast_scale_v2,draft
20200908_00,20200908_00_024,EVT-2020-09-EAST-HEAT,event,heatwave,SA-04,24,2020-09-08T00:00:00Z,2020-09-09T00:00:00Z,low,0.0,medium,context_only,not_scored_context,tmax_c_spatial_p95,46.61436116601563,47.0,49.0,0,ssod_utc_confirmed,unknown,heatwave_candidate_graphcast_scale_v2,draft
