case_id,initial_time,region_id,aggregation,available_days,minimum_duration,forecast_onset_lead_hours,observed_onset_lead_hours,onset_error_days,forecast_max_duration_days,observed_max_duration_days,duration_error_days
20200619_00,2020-06-19T00:00:00Z,SA-04,station_max,3,2,,,,0,0,0
20200619_00,2020-06-19T00:00:00Z,SA-04,station_mean,3,2,,,,0,0,0
20200619_00,2020-06-19T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
20200706_00,2020-07-06T00:00:00Z,SA-04,station_max,3,2,,24,,0,3,-3
20200706_00,2020-07-06T00:00:00Z,SA-04,station_mean,3,2,,24,,0,2,-2
20200706_00,2020-07-06T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
20200715_00,2020-07-15T00:00:00Z,SA-04,station_max,3,2,,,,1,1,0
20200715_00,2020-07-15T00:00:00Z,SA-04,station_mean,3,2,,,,0,1,-1
20200715_00,2020-07-15T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
20200806_00,2020-08-06T00:00:00Z,SA-04,station_max,3,2,,,,0,1,-1
20200806_00,2020-08-06T00:00:00Z,SA-04,station_mean,3,2,,,,0,0,0
20200806_00,2020-08-06T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
20200908_00,2020-09-08T00:00:00Z,SA-04,station_max,3,2,,48,,0,2,-2
20200908_00,2020-09-08T00:00:00Z,SA-04,station_mean,3,2,,,,0,0,0
20200908_00,2020-09-08T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
20200927_00,2020-09-27T00:00:00Z,SA-04,station_max,3,2,,,,0,0,0
20200927_00,2020-09-27T00:00:00Z,SA-04,station_mean,3,2,,,,0,0,0
20200927_00,2020-09-27T00:00:00Z,SA-04,station_min,3,2,,,,0,0,0
