case_id,matched_pair_id,case_role,region_id,lead_time_hours,observed_tmax_degc,observed_hot_day,source_spatial_p95_degc,correction_degc,candidate_tmax_degc,hot_day_threshold_degc,severe_hot_day_threshold_degc,candidate_hot_day,candidate_severe_hot_day,forecast_hot_day_streak,candidate_positive
20180601_00,P2018-SA04-JUNE,event,SA-04,24,47.0,False,45.509152,1.5939453125000007,47.1030973125,47.249969,49.078418,False,False,0,False
20180601_00,P2018-SA04-JUNE,event,SA-04,48,48.2,True,46.568024,2.3055572509765625,48.873581250976564,47.249969,49.078418,True,False,1,False
20180601_00,P2018-SA04-JUNE,event,SA-04,72,47.3,True,46.616957,2.6780364990234347,49.294993499023434,47.249969,49.078418,True,True,2,True
20180614_00,P2018-SA04-JUNE,control,SA-04,24,43.3,False,45.632617,1.5939453125000007,47.22656231250001,47.249969,49.078418,False,False,0,False
20180614_00,P2018-SA04-JUNE,control,SA-04,48,43.0,False,45.749274,2.3055572509765625,48.05483125097656,47.249969,49.078418,True,False,1,False
20180614_00,P2018-SA04-JUNE,control,SA-04,72,42.8,False,44.504704,2.6780364990234347,47.18274049902343,47.249969,49.078418,False,False,0,False
20180619_00,P2018-SA03-JUNE,event,SA-03,24,45.0,False,43.52858,1.5939453125000007,45.1225253125,47.0,49.0,False,False,0,False
20180619_00,P2018-SA03-JUNE,event,SA-03,48,47.0,True,44.2686,2.3055572509765625,46.57415725097656,47.0,49.0,False,False,0,False
20180619_00,P2018-SA03-JUNE,event,SA-03,72,47.0,True,44.862366,2.6780364990234347,47.540402499023436,47.0,49.0,True,False,1,False
20180623_00,P2018-SA03-JUNE,control,SA-03,24,43.4,False,43.710217,1.5939453125000007,45.3041623125,47.0,49.0,False,False,0,False
20180623_00,P2018-SA03-JUNE,control,SA-03,48,44.0,False,43.328873,2.3055572509765625,45.634430250976564,47.0,49.0,False,False,0,False
20180623_00,P2018-SA03-JUNE,control,SA-03,72,43.0,False,42.828177,2.6780364990234347,45.50621349902343,47.0,49.0,False,False,0,False
20180709_00,P2018-SA04-JULY,event,SA-04,24,47.0,False,47.452081,1.5939453125000007,49.046026312500004,47.249969,49.078418,True,False,1,False
20180709_00,P2018-SA04-JULY,event,SA-04,48,48.0,True,46.501558,2.3055572509765625,48.807115250976565,47.249969,49.078418,True,False,2,True
20180709_00,P2018-SA04-JULY,event,SA-04,72,48.0,True,46.41606,2.6780364990234347,49.094096499023436,47.249969,49.078418,True,True,3,True
20180719_00,P2018-SA04-JULY,control,SA-04,24,45.0,False,45.306812,1.5939453125000007,46.900757312500005,47.249969,49.078418,False,False,0,False
20180719_00,P2018-SA04-JULY,control,SA-04,48,45.0,False,45.943123,2.3055572509765625,48.24868025097656,47.249969,49.078418,True,False,1,False
20180719_00,P2018-SA04-JULY,control,SA-04,72,44.0,False,45.913065,2.6780364990234347,48.59110149902344,47.249969,49.078418,True,False,2,True
