case_id,initial_time,lead_time_hours,valid_start_time,valid_end_time,region_id,variable,aggregation,forecast_value,observed_value,unit,event_threshold,observation_source,observation_id,coverage_fraction,station_count,qc_status
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.87718874,0.368,mm,,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-09_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-09,daily_precip_total,spatial_p95,2.871065,2.515,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-09_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-09,daily_precip_total,maximum,6.5699673,4.3,mm,,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-09_maximum,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-09,daily_precip_total,weighted_mean,5.836223,23.007,mm,,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-09_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-09,daily_precip_total,spatial_p95,14.211132,33.78,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-09_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-09,daily_precip_total,maximum,20.816193,88.0,mm,,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-09_maximum,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-09,daily_precip_total,weighted_mean,18.436254,10.721,mm,,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-09_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-09,daily_precip_total,spatial_p95,31.197607,31.78,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-09_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-09,daily_precip_total,maximum,44.958309,43.2,mm,,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-09_maximum,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-14,daily_precip_total,weighted_mean,0.3858071,0.452,mm,,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-14_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-14,daily_precip_total,spatial_p95,1.3933915,2.1,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-14_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,SA-14,daily_precip_total,maximum,2.3551183,4.4,mm,,IMERG,IMERG_FINAL_V07B_2020-07-25_SA-14_maximum,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-14,daily_precip_total,weighted_mean,2.0857298,2.531,mm,,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-14_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-14,daily_precip_total,spatial_p95,8.6279548,14.99,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-14_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,SA-14,daily_precip_total,maximum,16.863031,69.7,mm,,IMERG,IMERG_FINAL_V07B_2020-07-26_SA-14_maximum,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-14,daily_precip_total,weighted_mean,3.7684413,3.556,mm,,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-14_weighted_mean,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-14,daily_precip_total,spatial_p95,16.079197,13.78,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-14_spatial_p95,1.0,,accepted
20200725_00,2020-07-25T00:00:00Z,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,SA-14,daily_precip_total,maximum,21.345135,41.7,mm,,IMERG,IMERG_FINAL_V07B_2020-07-27_SA-14_maximum,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,SA-09,daily_precip_total,weighted_mean,0.39636593,0.014,mm,,IMERG,IMERG_FINAL_V07B_2020-07-11_SA-09_weighted_mean,1.0,,accepted
20200711_00,2020-07-11T00:00:00Z,24,2020-07-11T00:00:00Z,2020-07-12T00:00:00Z,SA-09,daily_precip_total,spatial_p95,1.2543472,0.1,mm,5.0,IMERG,IMERG_FINAL_V07B_2020-07-11_SA-09_spatial_p95,1.0,,accepted
