case_id,case_role,hazard,region_id,window_start_date,window_end_date,ghcn_stations_in_region,prcp_stations,prcp_valid_days,prcp_min,prcp_max,tmax_stations,tmax_valid_days,tmax_min,tmax_max,tmin_stations,tmin_valid_days,tmin_min,tmin_max
20200501_00,event,heavy_rain,SA-09,20200501,20200502,1,0,0,,,1,2,37.3,37.6,1,2,28.2,29.1
20200505_00,event,heavy_rain,SA-09,20200506,20200506,1,0,0,,,1,1,36.7,36.7,0,0,,
20200515_00,control,heavy_rain,SA-09,20200516,20200518,1,0,0,,,1,3,37.4,40.5,1,3,29.8,30.5
20200706_00,event,heatwave,SA-04,20200707,20200707,5,0,0,,,1,1,46.0,46.0,1,1,31.0,31.0
20200715_00,control,heatwave,SA-04,20200716,20200718,5,0,0,,,2,3,45.0,47.0,2,3,27.9,31.0
20200725_00,event,heavy_rain,SA-09,20200726,20200729,1,1,2,13.0,21.1,1,4,33.5,37.4,1,3,24.0,26.9
20200725_00,event,heavy_rain,SA-14,20200726,20200729,3,2,3,3.0,30.0,3,4,21.3,39.0,3,4,15.0,26.7
20200711_00,control,heavy_rain,SA-09,20200712,20200714,1,0,0,,,1,3,38.3,41.2,1,3,31.0,31.7
20200711_00,control,heavy_rain,SA-14,20200712,20200714,3,0,0,,,2,3,31.0,40.1,3,2,19.5,26.5
20200729_00,event,heatwave,SA-08,20200730,20200731,3,0,0,,,3,2,40.5,50.0,2,2,27.0,33.3
20200729_00,event,heatwave,SA-04,20200730,20200731,5,0,0,,,2,2,48.2,50.6,2,2,33.0,34.0
20201109_00,control,heavy_rain,SA-03,20201110,20201112,4,0,0,,,3,3,28.5,34.0,3,3,15.7,25.0
20201119_00,event,heavy_rain,SA-03,20201120,20201121,4,0,0,,,3,2,23.4,32.8,3,2,14.9,23.0
20201112_00,control,heavy_rain,SA-02,20201113,20201115,3,0,0,,,2,3,28.0,35.3,2,3,15.0,25.6
20201125_00,event,heavy_rain,SA-02,20201126,20201126,3,0,0,,,1,1,23.0,23.0,1,1,15.0,15.0
20200820_00,demo,unspecified,SA-01,20200820,20200823,3,0,0,,,2,3,44.0,46.2,2,4,24.8,30.0
