region_id,date,element,station_count,minimum,maximum
SA-01,20200501,TMAX,2,37.5,40.0
SA-01,20200501,TMIN,1,26.0,26.0
SA-01,20200502,TMAX,2,39.0,39.0
SA-01,20200502,TMIN,1,30.0,30.0
SA-01,20200503,TMAX,2,38.0,39.0
SA-01,20200503,TMIN,1,28.0,28.0
SA-01,20200504,TMAX,2,39.0,39.0
SA-01,20200504,TMIN,2,20.7,27.0
SA-01,20200505,TMAX,2,39.2,41.0
SA-01,20200505,TMIN,2,25.0,26.0
SA-01,20200506,TMAX,1,39.0,39.0
SA-01,20200506,TMIN,2,27.0,28.0
SA-01,20200507,TMAX,2,35.1,40.0
SA-01,20200507,TMIN,1,28.0,28.0
SA-01,20200508,TMAX,2,35.4,40.0
SA-01,20200508,TMIN,1,26.0,26.0
SA-01,20200509,TMAX,2,41.0,42.0
SA-01,20200509,TMIN,2,24.3,26.0
SA-01,20200510,TMAX,2,40.1,42.0
SA-01,20200510,TMIN,1,28.0,28.0
SA-01,20200511,TMAX,2,35.6,43.0
SA-01,20200511,TMIN,1,26.0,26.0
SA-01,20200512,TMAX,2,39.0,39.0
SA-01,20200512,TMIN,2,23.7,28.0
SA-01,20200513,TMAX,2,37.3,40.0
SA-01,20200513,TMIN,2,23.0,26.0
SA-01,20200514,TMAX,2,38.0,40.0
SA-01,20200514,TMIN,2,21.2,28.0
SA-01,20200515,TMAX,2,39.0,40.0
SA-01,20200515,TMIN,1,26.0,26.0
SA-01,20200516,TMAX,2,40.0,40.7
SA-01,20200516,TMIN,1,22.8,22.8
SA-01,20200517,TMAX,2,40.0,40.4
SA-01,20200517,TMIN,2,22.7,25.0
SA-01,20200518,TMAX,2,41.0,42.0
SA-01,20200518,TMIN,1,27.0,27.0
SA-01,20200519,TMAX,2,40.0,40.8
SA-01,20200519,TMIN,2,27.8,29.0
SA-01,20200520,TMAX,2,39.0,41.0
SA-01,20200520,TMIN,1,26.0,26.0
SA-01,20200521,TMAX,2,41.0,41.4
SA-01,20200521,TMIN,2,23.0,25.0
SA-01,20200522,TMAX,2,41.0,42.0
SA-01,20200522,TMIN,2,22.0,28.0
SA-01,20200523,TMAX,2,41.5,42.0
SA-01,20200523,TMIN,2,23.0,27.0
SA-01,20200524,TMAX,2,42.0,42.3
SA-01,20200524,TMIN,2,23.3,26.0
SA-01,20200525,TMAX,2,41.0,42.2
SA-01,20200525,TMIN,1,28.0,28.0
