date,region_id,weighted_mean_mm,spatial_p95_mm,maximum_mm,coverage_fraction,product,version
2020-05-01,SA-01,0.065,0.3,4.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-02,0.036,0.1,4.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-03,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-04,3.236,20.935,228.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-05,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-06,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-07,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-08,0.001,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-09,0.939,6.115,24.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-10,0.531,3.4,10.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-12,0.006,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-01,SA-14,0.419,2.4,10.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-01,0.045,0.0,51.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-02,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-03,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-04,4.899,33.635,164.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-05,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-06,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-07,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-08,0.001,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-09,0.84,3.89,12.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-10,0.886,4.3,13.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-12,0.0,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-02,SA-14,0.228,1.39,24.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-01,0.293,1.5,4.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-02,0.011,0.0,1.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-03,0.012,0.0,1.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-04,0.081,0.5,5.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-05,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-06,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-07,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-08,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-09,4.819,18.92,32.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-10,1.747,8.915,17.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-11,0.249,1.22,2.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-06,SA-14,3.524,16.29,29.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-01,0.061,0.2,5.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-02,1.206,5.185,16.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-03,0.817,3.8,23.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-04,0.001,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-05,0.064,0.1,6.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-06,0.313,1.9,7.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-07,0.635,2.4,26.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-08,0.013,0.1,0.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-09,0.285,1.245,4.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-10,0.013,0.0,1.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-11,0.829,3.56,10.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-12,0.061,0.4,1.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-16,SA-14,0.868,5.29,11.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-01,0.15,1.1,5.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-02,2.331,7.7,12.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-03,0.493,2.545,9.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-04,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-05,0.281,1.6,3.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-06,0.099,0.6,2.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-07,0.255,1.4,3.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-08,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-09,0.119,0.79,3.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-10,0.012,0.0,1.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-11,1.784,6.46,10.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-17,SA-14,2.201,7.57,19.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-01,0.314,1.8,5.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-02,3.641,10.6,23.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-03,0.864,4.0,8.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-04,0.027,0.1,4.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-05,0.264,1.4,3.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-06,0.05,0.3,1.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-07,0.108,0.8,4.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-08,0.006,0.0,0.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-09,1.405,5.745,7.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-10,0.069,0.4,2.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-11,6.696,13.98,17.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-12,0.009,0.0,1.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-05-18,SA-14,2.952,9.99,27.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-01,0.002,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-02,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-03,0.001,0.0,0.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-04,0.018,0.0,2.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-05,0.0,0.0,0.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-06,0.005,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-07,0.0,0.0,0.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-08,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-09,0.56,2.97,5.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-10,0.018,0.0,2.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-12,SA-14,0.016,0.0,1.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-01,0.001,0.0,0.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-02,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-03,0.001,0.0,0.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-04,0.065,0.235,5.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-05,0.0,0.0,0.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-06,0.003,0.0,0.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-07,0.0,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-08,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-09,0.023,0.0,1.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-10,0.01,0.0,4.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-13,SA-14,0.011,0.0,1.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-01,0.02,0.0,1.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-02,0.0,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-03,0.0,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-04,0.02,0.1,1.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-05,0.0,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-06,0.004,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-07,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-08,0.002,0.0,0.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-09,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-10,0.001,0.0,0.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-11,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-12,0.0,0.0,0.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-14,SA-14,0.0,0.0,0.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-01,0.017,0.0,1.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-02,1.174,4.2,12.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-03,1.028,4.3,14.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-04,0.018,0.1,2.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-05,0.002,0.0,0.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-06,0.049,0.5,1.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-07,0.219,1.2,10.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-08,0.094,0.7,3.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-09,23.007,33.78,88.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-10,0.509,2.9,19.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-11,0.689,1.8,3.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-12,0.075,0.5,1.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-26,SA-14,2.531,14.99,69.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-01,0.27,1.2,3.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-02,2.648,10.585,54.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-03,1.532,5.5,16.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-04,0.092,0.6,4.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-05,0.205,1.3,2.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-06,0.179,1.4,2.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-07,0.201,1.1,3.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-08,0.233,1.7,4.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-09,10.721,31.78,43.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-10,2.031,8.745,20.0,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-11,3.462,12.68,20.1,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-12,0.173,0.9,3.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-27,SA-14,3.556,13.78,41.7,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-01,0.242,1.3,5.9,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-02,2.25,7.8,20.6,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-03,1.345,3.4,8.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-04,0.148,0.535,13.5,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-05,0.127,0.9,2.4,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-06,0.522,2.1,3.8,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-07,0.386,1.7,3.3,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-08,0.027,0.2,1.2,1.0,IMERG Final Run daily GIS accumulation,V07B
2020-07-28,SA-09,13.473,23.78,24.9,1.0,IMERG Final Run daily GIS accumulation,V07B
