file,sha256,case_id,region_id,lead_time_hours,risk_level,rule_id,dataset_split,validation_status
handoff/risk_results/independent_heavy_rain/risk_20200711_00_024_SA-09_heavy_rain.json,ea9a7e0311ffb9fd9d3c1ba9561a30b1dc749e23b08884d8d0ad34c76456f09c,20200711_00_024,SA-09,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200711_00_048_SA-09_heavy_rain.json,26c3cd954c29af941b8ae6abd8fba612e707eba305eb6c13f158c34ef97232f3,20200711_00_048,SA-09,48,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200711_00_072_SA-09_heavy_rain.json,de3ce27edbe2f85bd3cc09dcef3ec43b606f1b26e4136a6c8781ebfc0b6333bc,20200711_00_072,SA-09,72,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200711_00_024_SA-14_heavy_rain.json,aeec085eb29c1a9978877c1ac0e25898c0d13967afe7337f4738c7d78f180a74,20200711_00_024,SA-14,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200711_00_048_SA-14_heavy_rain.json,e483839a6bed2b2d97378392c27325a6f8d5bbf323b150d9dbf9c6a192f4213f,20200711_00_048,SA-14,48,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200711_00_072_SA-14_heavy_rain.json,b6d11a32bf314e63ff8476b7c51003016b8b63f4abeb9ec2f43a283ac2652e1b,20200711_00_072,SA-14,72,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_024_SA-09_heavy_rain.json,5942e3ec361989fb4c24eb273c719cbc35869c7eb919fd96ee7791ccf0ab0342,20200725_00_024,SA-09,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_048_SA-09_heavy_rain.json,64c70e3633227904d40fea9a1b474cae7d0cdc93ee774b018775b02fac6c4ce5,20200725_00_048,SA-09,48,medium,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_072_SA-09_heavy_rain.json,05f2b7c5eccd0a9e010fc102d388706a96755921eb68ac0b0c17cf59f4ad6416,20200725_00_072,SA-09,72,high,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_024_SA-14_heavy_rain.json,5ddf8ae942f9c910a86976e40c5da50345a93f5b979eacb7590ab04d0d85baff,20200725_00_024,SA-14,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_048_SA-14_heavy_rain.json,5602bdad51718054d9b55cbc5079432d10edbee6abe3eb8e8e8c8215815e6c91,20200725_00_048,SA-14,48,medium,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20200725_00_072_SA-14_heavy_rain.json,9ede4c05c9738db2c5377d9487bac090ff94a7651dd6ac8ec8df5a1eebd24bbf,20200725_00_072,SA-14,72,high,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201112_00_024_SA-02_heavy_rain.json,a878a6b75ef34654d5dad170cd8f10cbe137726fd7ff899630e109e2f842495a,20201112_00_024,SA-02,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201112_00_048_SA-02_heavy_rain.json,6955994233824327f1d4d8ea3ff90e5f0a70a9d6054a987f6d1ece56bb8f19d7,20201112_00_048,SA-02,48,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201112_00_072_SA-02_heavy_rain.json,a99bdf4c86324f6f4c11447c0a99eee0d380d72530bc1e3b28d60622cb41a2a6,20201112_00_072,SA-02,72,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201125_00_024_SA-02_heavy_rain.json,920518d2dbb876341981c2195116bd6d97e0874d5d20dd051136dc0a27d423d6,20201125_00_024,SA-02,24,low,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201125_00_048_SA-02_heavy_rain.json,78ca3178c2d64dd43957584a45ee38a1822cf7cfd353de44140fbfcc73e4df4f,20201125_00_048,SA-02,48,high,heavy_rain_graphcast_scale_v2,independent_test,passed
handoff/risk_results/independent_heavy_rain/risk_20201125_00_072_SA-02_heavy_rain.json,d4c4945d550ffec29e746b56f0a27b6049fe7832813cb735b38248aa33e2053c,20201125_00_072,SA-02,72,high,heavy_rain_graphcast_scale_v2,independent_test,passed
