indicator,expected_unit,observed_units,dimensions,files_total,files_present,valid_days,missing_or_empty_days,missing_or_empty_dates,valid_cells,total_cells,valid_cell_ratio,minimum,maximum,qc_range,out_of_range_cells,mapping_status
daily_precip_total,mm,mm,"latitude,longitude",365,363,363,2,20250818|20250820,12777600,12777600,1.000000,0,254.875,"[0.0, 1000.0]",0,exact_name_unit_partial_coverage
t2m_c,degC,degC,"latitude,longitude",365,364,362,3,20250102|20250130|20250818,12742400,12812800,0.994505,-11.9748,45.8972,"[-80.0, 70.0]",0,exact_name_unit_partial_coverage
tmax_c,degC,degC,"latitude,longitude",365,363,363,2,20250817|20250818,12777600,12777600,1.000000,-8.88821,53.7483,"[-80.0, 70.0]",0,exact_name_unit_partial_coverage
tmin_c,degC,degC,"latitude,longitude",365,363,363,2,20250818|20250820,12777600,12777600,1.000000,-16.4113,41.1078,"[-80.0, 70.0]",0,exact_name_unit_partial_coverage
wind10_speed,m s-1,m s-1,"latitude,longitude",365,364,364,1,20250818,12812800,12812800,1.000000,0.00134683,20.7284,"[0.0, 150.0]",0,exact_name_unit_partial_coverage
pwat,kg m-2,kg m-2,"latitude,longitude",365,292,292,73,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250323|20250818,10278400,10278400,1.000000,1.1,68.631,"[0.0, 100.0]",0,exact_name_unit_partial_coverage
ivt,kg m-1 s-1,kg m-1 s-1,"latitude,longitude",365,292,291,74,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250323|20250816|20250818,10243200,10278400,0.996575,0.0314597,728.41,"[0.0, 2000.0]",0,exact_name_unit_partial_coverage
wind850_speed,m s-1,m s-1,"latitude,longitude",365,292,291,74,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250323|20250816|20250818,10243200,10278400,0.996575,0.00199584,26.7518,"[0.0, 150.0]",0,exact_name_unit_partial_coverage
wind_shear_850_200,m s-1,m s-1,"latitude,longitude",365,292,291,74,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250323|20250816|20250818,10243200,10278400,0.996575,0.00457828,83.3345,"[0.0, 150.0]",0,exact_name_unit_partial_coverage
omega500,Pa s-1,Pa s-1,"latitude,longitude",365,292,292,73,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250323|20250818,10278400,10278400,1.000000,-3.75833,3.38323,"[-20.0, 20.0]",0,exact_name_unit_partial_coverage
geopotential_height500,gpm,gpm,"latitude,longitude",365,293,293,72,20250102|20250103|20250104|20250105|20250106|20250107|20250108|20250109|20250110|20250111|20250112|20250113|20250114|20250115|20250116|20250117|20250118|20250119|20250120|20250121|20250122|20250123|20250124|20250125|20250126|20250127|20250128|20250129|20250130|20250131|20250201|20250202|20250203|20250204|20250205|20250206|20250207|20250208|20250209|20250210|20250211|20250212|20250213|20250214|20250215|20250216|20250217|20250218|20250219|20250220|20250221|20250222|20250223|20250224|20250225|20250226|20250227|20250228|20250301|20250302|20250303|20250304|20250305|20250306|20250307|20250308|20250309|20250310|20250311|20250312|20250314|20250818,10313600,10313600,1.000000,5530.58,5970.24,"[4000.0, 6500.0]",0,exact_name_unit_partial_coverage
