case_id,initial_time,event_type,status,lead024_file,lead048_file,lead072_file,message,updated_at_utc
20200501_00,2020-05-01T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200501_00_lead024.nc,handoff/mazu_like/mazu_like_20200501_00_lead048.nc,handoff/mazu_like/mazu_like_20200501_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.580020Z
20200505_00,2020-05-05T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200505_00_lead024.nc,handoff/mazu_like/mazu_like_20200505_00_lead048.nc,handoff/mazu_like/mazu_like_20200505_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.604594Z
20200515_00,2020-05-15T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200515_00_lead024.nc,handoff/mazu_like/mazu_like_20200515_00_lead048.nc,handoff/mazu_like/mazu_like_20200515_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.627278Z
20200706_00,2020-07-06T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200706_00_lead024.nc,handoff/mazu_like/mazu_like_20200706_00_lead048.nc,handoff/mazu_like/mazu_like_20200706_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.654869Z
20200715_00,2020-07-15T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200715_00_lead024.nc,handoff/mazu_like/mazu_like_20200715_00_lead048.nc,handoff/mazu_like/mazu_like_20200715_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.678582Z
20200725_00,2020-07-25T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200725_00_lead024.nc,handoff/mazu_like/mazu_like_20200725_00_lead048.nc,handoff/mazu_like/mazu_like_20200725_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.711665Z
20200711_00,2020-07-11T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200711_00_lead024.nc,handoff/mazu_like/mazu_like_20200711_00_lead048.nc,handoff/mazu_like/mazu_like_20200711_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.747549Z
20200729_00,2020-07-29T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200729_00_lead024.nc,handoff/mazu_like/mazu_like_20200729_00_lead048.nc,handoff/mazu_like/mazu_like_20200729_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.777398Z
20201109_00,2020-11-09T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20201109_00_lead024.nc,handoff/mazu_like/mazu_like_20201109_00_lead048.nc,handoff/mazu_like/mazu_like_20201109_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.803139Z
20201119_00,2020-11-19T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20201119_00_lead024.nc,handoff/mazu_like/mazu_like_20201119_00_lead048.nc,handoff/mazu_like/mazu_like_20201119_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.825242Z
20201112_00,2020-11-12T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20201112_00_lead024.nc,handoff/mazu_like/mazu_like_20201112_00_lead048.nc,handoff/mazu_like/mazu_like_20201112_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.859793Z
20201125_00,2020-11-25T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20201125_00_lead024.nc,handoff/mazu_like/mazu_like_20201125_00_lead048.nc,handoff/mazu_like/mazu_like_20201125_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.884313Z
20200619_00,2020-06-19T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200619_00_lead024.nc,handoff/mazu_like/mazu_like_20200619_00_lead048.nc,handoff/mazu_like/mazu_like_20200619_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.904892Z
20200908_00,2020-09-08T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200908_00_lead024.nc,handoff/mazu_like/mazu_like_20200908_00_lead048.nc,handoff/mazu_like/mazu_like_20200908_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.924922Z
20200806_00,2020-08-06T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200806_00_lead024.nc,handoff/mazu_like/mazu_like_20200806_00_lead048.nc,handoff/mazu_like/mazu_like_20200806_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.947464Z
20200927_00,2020-09-27T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200927_00_lead024.nc,handoff/mazu_like/mazu_like_20200927_00_lead048.nc,handoff/mazu_like/mazu_like_20200927_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.971943Z
20200820_00,2020-08-20T00:00:00Z,,skipped,handoff/mazu_like/mazu_like_20200820_00_lead024.nc,handoff/mazu_like/mazu_like_20200820_00_lead048.nc,handoff/mazu_like/mazu_like_20200820_00_lead072.nc,all lead outputs already exist and passed validation,2026-07-17T05:40:59.995963Z
