station_id,station_name,latitude,longitude,region_id
SAI0000OEAO,PRINCE ABDULMAJEED BIN ABDULAZ,26.2938,38.0637,SA-03
SAI0000OEAR,AR RAYIS,23.5585,38.6021,SA-03
SAI0000OEBA,AL BAHA,20.2961,41.6343,SA-11
SAI0000OEDF,KING FAHD INTL,26.4712,49.7979,SA-04
SAI0000OEDM,PRINCE SALMAN BIN ABDULAZIZ,24.4499,44.1212,SA-01
SAI0000OEDR,KING ABDULAZIZ AB,26.2654,50.152,SA-04
SAI0000OEGT,GURIAT,31.4119,37.2795,SA-12
SAI0000OEHL,HAIL,27.4379,41.6863,SA-06
SAI0000OEJN,KING ABDULAZIZ INTL,21.6796,39.1565,SA-02
SAI0000OEKM,KING KHALED AB,18.2973,42.8035,SA-14
SAI0000OEMA,PRINCE MOHAMMAD BIN ABDULAZIZ,24.5534,39.7051,SA-03
SAI0000OENG,NEJRAN,17.6114,44.4192,SA-10
SAI0000OEPA,QAISUMAH,28.3352,46.1251,SA-04
SAI0000OEPS,PRINCE SULTAN AB,24.0704,47.5622,SA-01
SAI0000OERK,KING KHALED INTL,24.9576,46.6988,SA-01
SAI0000OESH,SHARURAH,17.4669,47.1214,SA-10
SAI0000OESK,AL JOUF,29.7851,40.1,SA-12
SAI0000OETB,TABUK,28.3654,36.6189,SA-07
SAI0000OETF,TAIF,21.4834,40.5443,SA-02
SAI0000OETN,RAS TANAJIB,27.8678,48.7691,SA-04
SAI0000OETR,TURAIF,31.6927,38.7312,SA-08
SAI0000OEWD,WADI AL DAWASIR,20.5043,45.1996,SA-01
SAI0000OEWJ,WEJH,26.1986,36.4764,SA-07
SAU040357-1,ARAR,30.9,41.13,SA-08
SAU040362-1,RAFHA,29.62,43.48,SA-08
SAU040405-1,GASSIM,26.3,43.77,SA-05
SAU040420-1,AL-AHSA,25.3,49.48,SA-04
SAU040435-1,AL-DAWADAMI,26.98,44.12,SA-05
SAU040439-1,YENBO,24.13,38.07,SA-03
SAU041112-1,ABHA,18.23,42.65,SA-14
